title,year,budget,length,rating,votes
Acts of Betrayal,1997,3000000,90,4,88
After the Sunset,2004,58000000,97,5,1332
Agent Cody Banks,2003,26000000,102,5,2386
Agent on Ice,1985,2500000,96,4,15
Air Force One,1997,85000000,124,6,24977
Aliens,1986,18500000,137,8,61684
Alive,1993,32000000,127,6,5480
All About the Benjamins,2002,14000000,95,5,1146
All Through the Night,1942,750000,107,6,345
American Outlaws,2001,35000000,94,5,2686
Apocalypse Now,1979,31500000,153,8,61240
Armageddon,1998,140000000,150,5,43146
Armed Response,1986,1500000,86,4,67
Army of Darkness,1993,11000000,81,7,20913
Assassins,1995,50000000,132,5,6908
Atlas,1961,70000,79,4,24
Austin Powers in Goldmember,2002,63000000,94,6,21345
Avatars,2001,20000,5,4,6
Bad Boys,1995,23000000,118,6,14299
Bad Boys II,2003,130000000,147,6,11766
Bad Moon,1996,7000000,80,4,480
Bait,2000,35000000,119,5,1731
Band of the Hand,1986,8700000,109,4,357
Batman,1989,35000000,126,7,34772
Batman Forever,1995,100000000,122,5,22676
Batman Returns,1992,80000000,126,6,22542
Batoru rowaiaru,2000,4500000,114,7,10765
Battle for the Planet of the Apes,1973,1800000,93,4,2216
Battle of Britain,1969,12000000,133,6,1557
Beccerra,2002,3000,30,7,14
Behind Enemy Lines,2001,40000000,106,6,10071
Belly of the Beast,2003,18000000,91,4,546
Beneath the Planet of the Apes,1970,3000000,95,5,3420
Beowulf,1999,20000000,95,3,1951
Beverly Hills Cop,1984,15000000,105,7,15478
Beverly Hills Cop II,1987,20000000,100,5,9861
Beverly Hills Cop III,1994,50000000,104,4,6089
Big Jim McLain,1952,826000,90,4,253
Big Trouble in Little China,1986,25000000,99,6,10240
Billy Jack,1971,800000,114,5,939
Black Hawk Down,2001,90000000,144,7,30414
Black Rain,1989,14000000,125,6,5335
Blade,1998,45000000,120,6,22799
Blade II,2002,55000000,117,6,15775
Blade Runner,1982,28000000,117,8,71455
Blood of the Samurai,2001,2000,75,6,18
Blood Shot,2002,35000,28,6,19
Blue Moon,1998,1000,90,7,22
Blue Streak,1999,36000000,93,5,7478
Bound by Honor,1993,35000000,180,7,2278
Braveheart,1995,72000000,177,8,87585
Breakdown,1997,36000000,95,6,6737
Bridge of Dragons,1999,4000000,92,3,342
Broken Arrow,1996,65000000,108,5,13713
Bulletproof,1988,5000000,93,3,150
Bulletproof Monk,2003,52000000,104,5,4944
Bullitt,1968,5500000,113,7,5770
Caged Heat,1974,180000,83,5,286
Captain Blood,1935,1200000,119,7,1549
Casino Royale,1967,12000000,131,5,3913
