title,year,budget,length,rating,votes
Abbott and Costello Go to Mars,1953,754000,77,5,331
Abbott and Costello Meet Captain Kidd,1952,450000,70,5,150
About a Boy,2002,27000000,101,7,16946
About Schmidt,2002,30000000,125,7,21547
After Hours,1985,4500000,96,7,5187
After Sex,2000,5000000,96,4,182
After the Sunset,2004,58000000,97,5,1332
Agent Cody Banks,2003,26000000,102,5,2386
Air Bud,1997,3000000,98,4,1192
Airborne,1993,2600000,91,5,991
Aladdin,1992,28000000,90,7,21100
Alfie,2004,60000000,103,5,1681
Alice,1990,12000000,102,6,1614
Alice in Wonderland,1951,3000000,75,7,4202
All About the Benjamins,2002,14000000,95,5,1146
All the Vermeers in New York,1990,250000,87,5,122
All Through the Night,1942,750000,107,6,345
Alligator,1980,1000000,89,5,964
Almost Famous,2000,60000000,122,8,36619
Almost You,1985,1000000,96,4,42
Along Came Polly,2004,42000000,90,5,8524
American Desi,2001,250000,100,6,272
American Graffiti,1973,777000,110,7,12133
American Outlaws,2001,35000000,94,5,2686
American Pie,1999,11000000,95,6,38891
American Raspberry,1977,50000,75,5,16
American Wedding,2003,55000000,96,6,12281
Analyze This,1999,30000000,103,6,23258
And Baby Makes Three,1949,700000,84,4,20
And Now for Something Completely Different,1971,100000,85,7,3276
Animal House,1978,3000000,109,7,16919
Annie Get Your Gun,1950,3768785,107,7,494
Annie Hall,1977,4000000,93,8,20358
Antz,1998,60000000,87,7,15539
Anything Else,2003,18000000,108,6,3209
Anything Goes,1936,1100000,92,5,38
Arachnophobia,1990,31000000,103,6,8203
Army of Darkness,1993,11000000,81,7,20913
Around the World in Eighty Days,1956,6000000,183,6,2472
Arthur,1981,7000000,97,6,4410
Artists and Models,1955,1500000,109,6,410
As Good as It Gets,1997,50000000,139,7,45835
Asesino en serio,2002,2500000,84,6,77
Assault of the Killer Bimbos,1988,250000,85,3,146
At Long Last Love,1975,6000000,118,4,179
Austin Powers in Goldmember,2002,63000000,94,6,21345
Babe,1995,30000000,89,7,16380
Baby Geniuses,1999,13000000,97,2,3000
Back to the Future,1985,19000000,111,8,65041
Back to the Future Part II,1989,40000000,108,7,26734
Back to the Future Part III,1990,40000000,118,6,23061
Bad Boy Bubby,1993,750000,112,7,977
Bad Boys,1995,23000000,118,6,14299
Bad Boys II,2003,130000000,147,6,11766
Bad Girls from Mars,1991,52000,86,3,48
Bad Santa,2003,18000000,91,7,9693
Bad Taste,1987,150000,91,6,6597
Bait,2000,35000000,119,5,1731
Bamboozled,2000,10000000,135,6,2209
Bananas,1971,2000000,82,7,4014
Bandits,2001,80000000,123,6,11628
Barbershop,2002,12000000,102,6,4558
Barcelona,1994,3200000,101,6,1511
Beach Party,1963,350000,101,5,217
Bean,1997,22000000,90,5,8478
Beat the Devil,1953,1000000,100,6,971
Beautiful,2000,9000000,112,5,949
Bedazzled,2000,48000000,93,5,10786
Beetle Juice,1988,15000000,92,7,19893
Being Human,1993,30000000,122,4,932
Being John Malkovich,1999,13000000,112,7,52086
Bela Lugosi Meets a Brooklyn Gorilla,1952,50000,74,2,148
Belle of the Nineties,1934,800000,73,6,82
Bells Are Ringing,1960,2203123,127,6,338
Best Foot Forward,1943,1125502,94,6,85
Best in Show,2000,6000000,90,7,11244
Beverly Hills Cop,1984,15000000,105,7,15478
Beverly Hills Cop II,1987,20000000,100,5,9861
Beverly Hills Cop III,1994,50000000,104,4,6089
Beyond the Valley of the Dolls,1970,900000,109,5,1499
Big,1988,18000000,104,7,17773
Big Bully,1996,15000000,90,4,735
Big Daddy,1999,34200000,93,5,17105
Big Fat Liar,2002,15000000,88,5,2269
Big Fish,2003,70000000,125,8,27696
Big Trouble,2002,40000000,85,6,3769
Big Trouble in Little China,1986,25000000,99,6,10240
Big Wednesday,1978,11000000,120,6,759
Bikini Beach,1964,600000,99,4,142
Birthday Girl,2001,13000000,93,6,4964
Black Knight,2001,50000000,95,4,3537
Blast from the Past,1999,35000000,112,6,9003
Blazing Saddles,1974,2600000,93,7,16348
Blondie of the Follies,1932,602620,91,5,42
Blood Shot,2002,35000,28,6,19
Blue in the Face,1995,2000000,83,6,2206
Blue Skies,1946,3000000,104,6,152
Blue Streak,1999,36000000,93,5,7478
Boat Trip,2002,20000000,94,4,2625
Bogus,1996,32000000,110,5,935
Bombshell,1933,344000,96,7,264
Boomerang,1992,42000000,118,5,3311
Bottle Rocket,1996,7000000,92,7,6773
Bottomfeeders,2001,500000,92,7,7
Bowfinger,1999,55000000,97,6,14220
Bowling for Columbine,2002,4000000,120,8,34321
Boys and Girls,2000,16000000,94,4,3309
Boys on the Side,1995,21000000,115,6,2653
Braindead,1992,3000000,104,7,10810
Brazil,1985,15000000,131,8,29326
Breakfast of Champions,1999,12000000,110,4,2130
Breaking All the Rules,1985,2032000,91,4,67
Breathing Room,1996,500000,90,4,38
Bride of Chucky,1998,25000000,89,5,4139
Bring It On,2000,10000000,98,6,11056
Bringing Down the House,2003,35000000,105,5,6054
Broadway Danny Rose,1984,8000000,84,7,2494
Brown Sugar,2002,8000000,109,5,874
Bruce Almighty,2003,81000000,101,6,21654
Bruno,2000,10000000,108,5,282
Bubble Boy,2001,13000000,84,5,2702
Buck Privates,1941,180000,84,6,339
Budbringeren,1997,2100000,83,6,709
Buddy Buddy,1981,10000000,96,6,700
Buffalo Soldiers,2001,15000000,98,7,3342
Bull Durham,1988,7000000,108,7,8067
Bullets Over Broadway,1994,20000000,98,7,6410
Bulworth,1998,30000000,108,6,7992
Burying Dvorak,2003,5000,19,9,7
Cachimba,2004,950000,127,8,9
Caddyshack,1980,6000000,98,7,12748
Calendar Girl,1993,13000000,90,4,423
California Casanova,1991,350000,90,4,30
Camelot,1967,17000000,179,6,1162
Canadian Bacon,1995,11000000,91,5,3279
Cape of Good Hope,2004,3000000,107,9,11
Carefree,1938,1253000,83,6,282
Carlos contra el mundo,2002,1000000,91,5,15
Carpool,1996,17000000,89,4,792
Casino Royale,1967,12000000,131,5,3913
Casper,1995,55000000,100,5,8286
Catch Me If You Can,1989,800000,106,4,90
Catch That Kid,2004,18000000,91,4,521
Celebrity,1998,12000000,113,6,4590
Chacun cherche son chat,1996,300000,91,6,1048
Chafed Elbows,1966,25000,63,2,16
Chance,2002,150000,80,8,406
Changing Habits,1997,1200000,95,5,131
Chapter Zero,1999,1500000,104,5,45
Charade,1963,4000000,113,8,8620
Charly,2002,950000,103,5,141
Chasing Amy,1997,250000,111,7,30768
Cheaper by the Dozen,2003,40000000,98,5,5304
Cherish,2002,1500000,99,6,672
Cherry Falls,2000,14000000,92,4,2045
Chicago,2002,45000000,113,7,32516
Chicken Run,2000,42000000,84,7,24119
Chill Factor,1999,34000000,101,5,2430
Chitty Chitty Bang Bang,1968,10000000,144,6,3017
Christmas with the Kranks,2004,60000000,98,4,1282
Ciao America,2002,5000000,100,4,26
Cinderfella,1960,3000000,91,5,384
Citizen Ruth,1996,3000000,102,6,1328
City Lights,1931,1500000,87,8,7438
Clay Pigeons,1998,8000000,104,6,2507
Clown Princes,1939,21243,11,6,8
Club Dread,2004,9000000,104,5,2905
Clue,1985,15000000,94,6,8317
Clueless,1995,20000000,97,6,15786
Coming to America,1988,28000000,116,6,12292
Commandments,1997,5000000,88,5,452
Committed,2000,3000000,98,5,700
Confessions of a Dangerous Mind,2002,29000000,113,7,10435
Confessions of a Teenage Drama Queen,2004,15000000,89,4,1857
Convention City,1933,239000,69,4,5
Cool as Ice,1991,6000000,100,2,1249
Corky Romano,2001,11000000,86,4,2311
Cotton Comes to Harlem,1970,1200000,97,6,186
Coyote Ugly,2000,45000000,100,5,12480
Crank Calls,2002,40000,10,6,21
Crazy in Alabama,1999,15000000,111,6,1992
Creepshow,1982,8000000,120,6,3435
Crimes and Misdemeanors,1989,19000000,107,7,6956
Crimes of the Future,1970,20000,70,4,83
Critical Care,1997,12000000,107,5,373
Critters,1986,2000000,82,5,2044
Crocodile Dundee in Los Angeles,2001,25000000,92,4,2544
Crooklyn,1994,14000000,115,6,1051
Crossroads,2002,12000000,93,3,8011
Curdled,1996,2309723,88,5,914
Curly Sue,1991,30000000,101,4,1965
Curse of the Queerwolf,1988,10000,90,2,55
Daddy Day Care,2003,60000000,92,5,3424
Dancing Lady,1933,923055,92,6,162
Dark Star,1974,60000,83,6,3356
Dead Heat,1988,5000000,86,4,439
Dead Man on Campus,1998,14000000,96,5,2679
Death Becomes Her,1992,55000000,103,5,9340
Death to Smoochy,2002,55000000,109,6,7389
Deathrow Gameshow,1987,200000,83,3,55
Deconstructing Harry,1997,20000000,96,7,6996
Decoys,2004,5000000,95,4,475
Delayed,2002,20000,103,2,15
Dellamorte Dellamore,1994,4000000,105,7,2197
Denial,1998,5000000,93,5,270
Desperate Living,1977,65000,90,7,559
Desperately Seeking Susan,1985,4500000,104,5,4678
Detroit Rock City,1999,15000000,95,5,4325
Devil Dogs of the Air,1935,350000,85,5,40
Dick,1999,13000000,94,6,4785
Dick Tracy,1990,47000000,103,5,9406
Dill Scallion,1999,500000,91,4,134
Diner,1982,5000000,110,7,3313
Dinner at Eight,1933,435000,113,7,936
Dirty Work,1998,13000000,82,5,3997
Do the Right Thing,1989,6500000,120,7,8742
Doctor Dolittle,1998,71500000,85,5,7805
Dogma,1999,10000000,130,7,41076
Don Juan DeMarco,1995,25000000,97,6,6384
Double Take,2001,24000000,88,4,1441
Down and Out with the Dolls,2001,1200000,88,6,36
Down by Law,1986,1100000,107,7,4209
Down to Earth,2001,30000000,87,5,3494
Down to You,2000,9000000,91,4,3087
Dream with the Fishes,1997,1000000,97,6,605
Drive,1997,3500000,100,6,1022
Drive Me Crazy,1999,8000000,91,5,2789
Driving Miss Daisy,1989,7500000,99,7,8185
Drop Back Ten,2000,600000,93,4,27
Drowning Mona,2000,16000000,95,5,3265
Drumline,2002,20000000,118,5,6735
Du Barry Was a Lady,1943,1239222,101,6,116
Due occhi diabolici,1990,9000000,120,5,492
Duets,2000,15000000,112,5,2313
Duplex,2003,40000000,89,5,3751
Earth Girls Are Easy,1988,10000000,100,5,3766
Eating Out,2004,50000,90,7,131
Eating Raoul,1982,350000,90,6,1287
Ed and His Dead Mother,1993,1800000,93,5,395
Ed Mort,1997,1500000,102,6,70
Ed Wood,1994,18000000,127,8,22090
Eddie,1996,30000000,100,5,1283
Edtv,1999,60000000,122,6,9581
Eight Legged Freaks,2002,30000000,99,5,5957
Election,1999,8500000,103,7,16653
Elf,2003,33000000,95,7,9029
Ella Enchanted,2004,35000000,96,6,2042
Emma,1996,6000000,121,6,6166
Entrapment,1999,66000000,113,6,17568
Ernest Goes to Camp,1987,3000000,92,4,1462
Ernest Rides Again,1993,7000000,96,3,238
Ernest Saves Christmas,1988,6000000,95,4,1064
