title,year,budget,length,rating,votes
Abandon,2002,25000000,99,4,2179
About a Boy,2002,27000000,101,7,16946
About Schmidt,2002,30000000,125,7,21547
Absolute Power,1997,50000000,121,6,7580
Accident,1967,600000,105,7,319
Ace in the Hole,1951,1821052,111,7,1032
Across to Singapore,1928,290000,86,6,53
Adam Had Four Sons,1941,488000,81,6,70
Adventure,1945,3500000,135,5,101
Affliction,1997,6000000,114,6,3526
After Sex,2000,5000000,96,4,182
Air Bud,1997,3000000,98,4,1192
Air Force One,1997,85000000,124,6,24977
Airmail,1932,305000,84,6,72
Airport,1970,10000000,137,6,2762
Albino Alligator,1996,5000000,97,6,1962
Alexander,2004,150000000,175,5,8434
Alfie,2004,60000000,103,5,1681
Ali,2001,107000000,159,6,8554
Alias,2002,1500000,98,5,251
Alice,1990,12000000,102,6,1614
Alien Nation,1988,16000000,91,6,2076
Alive,1993,32000000,127,6,5480
All Quiet on the Western Front,1930,1200000,131,8,6506
All the Pretty Horses,2000,45000000,116,5,3010
All the Real Girls,2003,1000000,108,6,1570
All the Vermeers in New York,1990,250000,87,5,122
All Through the Night,1942,750000,107,6,345
Almost Famous,2000,60000000,122,8,36619
Almost You,1985,1000000,96,4,42
Along Came a Spider,2001,28000000,104,6,8965
Always,1989,29500000,106,6,4695
Amadeus,1984,18000000,180,8,35154
Ame agaru,1999,3800000,91,7,410
American Beauty,1999,15000000,122,8,105100
American Desi,2001,250000,100,6,272
American Gigolo,1980,4800000,117,5,2338
American Graffiti,1973,777000,110,7,12133
American History X,1998,10000000,119,8,55449
American Me,1992,16000000,125,6,648
American Psycho,2000,8000000,101,6,20127
Amistad,1997,40000000,152,7,9950
Amores perros,2000,2000000,153,8,13796
Analyze This,1999,30000000,103,6,23258
And Then Came Summer,2000,2300,115,4,51
Angel Eyes,2001,38000000,102,5,4492
Ann Vickers,1933,303000,76,6,45
Anna and the King,1999,75000000,148,6,6391
Anna Christie,1930,376000,89,6,225
Anna Karenina,1935,1152000,95,7,445
Another Language,1933,272297,77,6,12
Another Woman,1988,10000000,84,7,1302
Anthony Adverse,1936,1050500,141,6,188
Anthrax,2001,2500000,90,4,47
Antitrust,2001,30000000,108,6,6950
Antony and Cleopatra,1972,1600000,138,4,81
Antwone Fisher,2002,12500000,120,7,4101
Any Given Sunday,1999,62000000,150,6,18420
Any Number Can Play,1949,1465641,112,6,61
Anywhere But Here,1999,23000000,114,5,3800
Aparte,2002,90000,91,8,22
Apocalypse Now,1979,31500000,153,8,61240
Apt Pupil,1998,14000000,111,6,6391
Arch of Triumph,1948,5000000,120,5,153
Are These Our Children,1931,400000,84,6,25
Arlington Road,1999,21500000,117,7,16340
As Good as It Gets,1997,50000000,139,7,45835
As You Desire Me,1932,460733,70,5,104
At Close Range,1986,6500000,111,6,1536
At First Sight,1999,40000000,128,5,3290
At Night with No Curtains,2004,8000,87,1,22
Atlantic City,1980,7200000,104,7,2278
Atlantida,2002,1000000,93,7,9
Atlas,1961,70000,79,4,24
